country,year,oze_share,energy_price,inflation,gdp_per_capita
Austria,2014,33.55,0.18090333333333333,1.5,43070.0
Belgium,2014,8.038,0.18793333333333334,0.5,39960.0
Bulgaria,2014,18.05,0.07662,-1.6,7770.0
Cyprus,2014,9.144,0.20877333333333334,-0.3,20490.0
Czech Republic,2014,15.074,0.13822333333333334,0.4,18370.0
Germany,2014,14.381,0.25211,0.8,40850.0
Denmark,2014,29.31,0.20606666666666668,0.3,50110.0
Estonia,2014,26.13,0.11037000000000001,0.5,18280.0
Greece,2014,15.683,0.16238999999999998,-1.4,16030.0
Spain,2014,15.879,0.23285,-0.2,23730.0
Finland,2014,38.633,0.15137666666666666,1.2,40650.0
France,2014,14.362,0.15691333333333332,0.6,35150.0
Croatia,2014,27.817,0.12711333333333333,0.2,11370.0
Hungary,2014,14.618,0.10423,0.0,12040.0
Ireland,2014,8.516,0.28707333333333335,0.3,48770.0
Italy,2014,17.082,0.23365333333333332,0.2,28910.0
Lithuania,2014,23.592,0.10854666666666667,0.2,14100.0
Luxembourg,2014,4.471,0.16764666666666667,0.7,102250.0
Latvia,2014,38.629,0.10798666666666668,0.7,13140.0
North Macedonia,2014,19.559,0.06405999999999999,0.0,5140.0
Malta,2014,4.744,0.23468,0.8,23840.0
Netherlands,2014,5.415,0.17531538461538462,0.3,44780.0
Norway,2014,68.406,0.17717333333333332,1.9,60840.0
Poland,2014,11.605,0.12845333333333334,0.1,11360.0
Portugal,2014,29.508,0.20185333333333333,-0.2,18560.0
Romania,2014,24.845,0.10695666666666666,1.4,9100.0
Serbia,2014,22.864,0.07886,2.3,5930.0
Sweden,2014,51.151,0.17484666666666668,0.2,44330.0
Slovenia,2014,22.459,0.14497333333333332,0.4,19720.0
Slovakia,2014,11.713,0.14482,-0.1,15220.0
Austria,2015,33.497,0.18264,0.8,43200.0
Belgium,2015,8.06,0.20303,0.6,40310.0
Bulgaria,2015,18.261,0.08482333333333333,-1.1,8130.0
Cyprus,2015,9.903,0.16959,-1.5,21140.0
